機關構名稱,熱點名稱,熱點類別,縣市名稱,鄉鎮市區,地址,緯度,經度
新竹市政府,公車-新竹客運(1路[227-U7]),大眾運輸節點,新竹市,東區,300新竹市東區民族路14號,24.803199,120.97195
新竹市政府,公車-新竹客運(1路[228-U7]),大眾運輸節點,新竹市,東區,300新竹市東區民族路14號,24.803199,120.97195
新竹市政府,公車-新竹客運(1路[551-FT]),大眾運輸節點,新竹市,東區,300新竹市東區民族路14號,24.803199,120.97195
新竹市政府,公車-新竹客運(1路[813-FL]),大眾運輸節點,新竹市,東區,300新竹市東區民族路14號,24.803199,120.97195
新竹市政府,公車-新竹客運(1路[816-FL]),大眾運輸節點,新竹市,東區,300新竹市東區民族路14號,24.803199,120.97195
新竹市政府,公車-新竹客運(1路預備車[545-FY]),大眾運輸節點,新竹市,東區,300新竹市東區民族路14號,24.803199,120.97195
新竹市政府,公車-新竹客運(1路預備車[547-FY]),大眾運輸節點,新竹市,東區,300新竹市東區民族路14號,24.803199,120.97195
新竹市政府,公車-新竹客運(藍線 [099-FN]),大眾運輸節點,新竹市,東區,300新竹市東區民族路14號,24.803199,120.97195
新竹市政府,公車-新竹客運(藍線 [229-U7]),大眾運輸節點,新竹市,東區,300新竹市東區民族路14號,24.803199,120.97195
新竹市政府,公車-新竹客運(藍線 [537-FD]),大眾運輸節點,新竹市,東區,300新竹市東區民族路14號,24.803199,120.97195
新竹市政府,公車-新竹客運(藍線 [817-FL]),大眾運輸節點,新竹市,東區,300新竹市東區民族路14號,24.803199,120.97195
新竹市政府,世博台灣館2樓攤商區,文教館所,新竹市,東區,300新竹市東區公道五路三段6號,24.8086642,120.9882064
新竹市政府,世博台灣館文創館1F服務台,文教館所,新竹市,東區,300新竹市東區公道五路三段6號,24.8086642,120.9882064
新竹市政府,世博台灣館文創館2F美食區,文教館所,新竹市,東區,300新竹市東區公道五路三段6號,24.8086642,120.9882064
新竹市政府,新竹火車站前廣場SOGO前右側,旅遊景點,新竹市,東區,300新竹市東區新竹火車站對面,24.801929,120.971639
新竹市政府,新竹火車站前廣場SOGO前左側,旅遊景點,新竹市,東區,300新竹市東區新竹火車站對面,24.801929,120.971639
新竹市政府,新竹火車站前廣場右側,旅遊景點,新竹市,東區,300新竹市東區新竹火車站對面,24.801929,120.971639
新竹市政府,新竹火車站前廣場左側,旅遊景點,新竹市,東區,300新竹市東區新竹火車站對面,24.801929,120.971639
新竹市政府,新竹市十八尖山介壽亭,旅遊景點,新竹市,東區,300新竹市東區十八尖山介壽亭,24.792423,120.984578
新竹市政府,新竹市十八尖山佛光岩,旅遊景點,新竹市,東區,300新竹市東區十八尖山佛光岩,24.793572,120.98784
新竹市政府,新竹市十八尖山幸福亭,旅遊景點,新竹市,東區,300新竹市東區十八尖山幸福亭,24.794663,120.98666
新竹市政府,新竹市十八尖山愛林亭,旅遊景點,新竹市,東區,300新竹市東區十八尖山愛林亭,24.79141,120.982819
新竹市政府,新竹市十八尖山獅子亭,旅遊景點,新竹市,東區,300新竹市東區十八尖山獅子亭,24.792209,120.985823
新竹市政府,新竹市大遠百前廣場右側,旅遊景點,新竹市,東區,300新竹市東區西大路323號,24.802065,120.965288
新竹市政府,新竹市大遠百前廣場左側,旅遊景點,新竹市,東區,300新竹市東區西大路323號,24.802065,120.965288
新竹市政府,新竹市天鵝湖,旅遊景點,新竹市,北區,300新竹市北區新港一路,24.850148,120.928638
新竹市文化局,新竹市文化局2樓,文教館所,新竹市,北區,300新竹市北區東大路2段15巷1號2F,24.811668,120.968978
新竹市文化局,新竹市文化局3樓,文教館所,新竹市,北區,300新竹市北區東大路2段15巷1號3樓,24.811668,120.968978
新竹市文化局,新竹市文化局前廣場右側,文教館所,新竹市,東區,300新竹市北區東大路2段15巷1號1F,24.811671,120.968656
新竹市文化局,新竹市文化局前廣場左側,文教館所,新竹市,東區,300新竹市北區東大路2段15巷1號1F,24.811681,120.968501
新竹市文化局,新竹市文化局荷花池廣場,文教館所,新竹市,北區,300新竹市北區東大路2段15巷1號,24.811668,120.968978
新竹市文化局,新竹市文化局圖書館1F閱覽室,文教館所,新竹市,北區,300新竹市北區東大路二段15巷1號1樓,24.811648,120.969043
新竹市文化局,新竹市文化局圖書館3F自修室,文教館所,新竹市,北區,300新竹市北區東大路2段15巷1號3樓,24.804928,120.969601
新竹市文化局,新竹市文化局圖書館B1寶兔室,文教館所,新竹市,北區,300新竹市北區東大路2段15巷1號,24.814161,120.966725
新竹市文化局,新竹市文化局圖書館B3期刊室,文教館所,新竹市,北區,300新竹市北區東大路2段15巷1號,24.810821,120.969133
新竹市政府,新竹市世博台灣館,文教館所,新竹市,東區,300新竹市東區公道五路三段6號,24.8086642,120.9882064
新竹市北區戶政事務所,新竹市北區戶政事務所,洽公場所,新竹市,北區,300新竹市北區國華街69號2樓,24.816303,120.970244
新竹市北區區公所,新竹市北區區公所3樓,洽公場所,新竹市,北區,300新竹市北區國華街69號3樓,24.816322,120.970266
新竹市政府,新竹市北區樂齡學習中心,文教館所,新竹市,北區,300新竹市北區武陵路111-1號,24.819572,120.966905
新竹市北區衛生所,新竹市北區衛生所,洽公場所,新竹市,北區,300新竹市北區國華街69號1樓1F,24.816361,120.970223
新竹市政府,新竹市立棒球場前入口廣場,文教館所,新竹市,北區,300新竹市北區西大路523號,24.806292,120.95988
新竹市地政事務所,新竹市地政事務所1樓,洽公場所,新竹市,東區,300新竹市東區光華東街60號1F,24.816654,120.975523
新竹市政府,新竹市赤土崎公園光復中學站,旅遊景點,新竹市,東區,300新竹市東區建中路2號,24.798559,120.994127
新竹市政府,新竹市赤土崎公園馬階醫院站,旅遊景點,新竹市,東區,300新竹市東區建中路2號,24.799747,120.991402
新竹市政府,新竹市赤土崎公園新源街廣場右側,旅遊景點,新竹市,東區,300新竹市東區建中路2號,24.799864,120.994079
新竹市政府,新竹市赤土崎公園新源街廣場左側,旅遊景點,新竹市,東區,300新竹市東區建中路2號,24.799864,120.994079
新竹市政府,新竹市東門城地下道西北向,旅遊景點,新竹市,東區,300新竹市東區中正路東門街,24.80429,120.970191
新竹市政府,新竹市東門城地下道東南向,旅遊景點,新竹市,東區,300新竹市東區中正路東門街,24.80429,120.970191
新竹市政府,新竹市東門城玻璃橋,旅遊景點,新竹市,東區,300新竹市東區中正路東門街,24.804415,120.970623
新竹市東區戶政事務所,新竹市東區戶政事務所,洽公場所,新竹市,東區,300新竹市東區民族路40-1號1F,24.805259,120.973248
